"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"RT @business: Move over, Donald Trump and Hillary Clinton. There's an economist running for president https://t.co/1PjR04ZDE2 https://t.co/…"	733129541988798464	"ThereforeIexist"	"2016-05-19 02:57:58"	NA	NA	FALSE	0	FALSE	49	TRUE	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	NA	NA
"RT @Ke7inBurke: This just in: Donald Trump wants to ""get it on"" with Hillary Clinton. https://t.co/Wd2C0NFGys"	733145963494318080	"astudyinrachel"	"2016-05-19 04:03:13"	NA	NA	FALSE	0	FALSE	1	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @Bobp1169: I don't like Donald Trump, after reading what RNC Chair had to say, I am going to vote Republican, pls read: https://t.co/3TV…"	733120968026165248	"Annposter1"	"2016-05-19 02:23:54"	NA	NA	FALSE	0	FALSE	2	TRUE	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>"	NA	NA
"RT @Jeffrey_gordon: FOX Poll: Donald Trump Leads Hillary Clinton in Race for the White House https://t.co/OvosFpgfjb"	733142967922216960	"e8f8c678"	"2016-05-19 03:51:19"	NA	NA	FALSE	0	FALSE	19	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Donald Trump beats Hillary Clinton in new opinion poll: This is for the first time in a poll that Trump is seen ahead of Clinton, alb..."	733205232432209920	"AmanPalSingh_"	"2016-05-19 07:58:44"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"	NA	NA
"‘Not an appropriate way for a presidential candidate to behave’: Bezos fires back at Donald Trump  https://t.co/neUOaPWiei"	733144805048389632	"Bellajane127"	"2016-05-19 03:58:37"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>"	NA	NA
"Donald Trump’s Plan for America Includes Shutting Down the Media https://t.co/sOwD3gkNhd via @intelligencer"	733190387670654976	"21dem21"	"2016-05-19 06:59:45"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @RaniaKhalek: It's a cynical ploy but still noteworthy that Donald Trump is being nicer to Bernie Sanders supporters than the DNC https:…"	733156690841894912	"43a6f0ce5dac4ea"	"2016-05-19 04:45:51"	NA	NA	FALSE	0	FALSE	60	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @LibbySchaaf: Let me be clear, regarding @nytimes story, the most dangerous place in America is Donald Trump's mouth."	733118174527250432	"ASMSusanBonilla"	"2016-05-19 02:12:48"	NA	NA	FALSE	0	FALSE	1495	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @JohnAvlon: On his deathbed, this GOP Senator told his family he wanted to apologize to Muslims for Donald Trump https://t.co/uUBszTflII…"	7.33140235157e+17	"desiderioDC"	"2016-05-19 03:40:27"	NA	NA	FALSE	0	FALSE	76	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Donald Trump took a bit of flak earlier this month for talking fast and loose about the US government debt https://t.co/wvhJhickwv #money"	733200501995675648	"Nuusie_Business"	"2016-05-19 07:39:56"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""https://nuusie.com"" rel=""nofollow"">Nuusie Business</a>"	NA	NA
"Donald Trump is just an asshole, period."	733117792610816000	"himynameisvans"	"2016-05-19 02:11:17"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Trump's list snubs top legal conservatives
https://t.co/TTw45OSkFS"	733146687963828224	"CatalenaNikole"	"2016-05-19 04:06:06"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>"	NA	NA
"Draymond is loud. He talks a lot of shit. He has crazy fans who will stick up for this, cause, ""he's different.""  He's NBA Donald Trump."	733119863170863104	"therealbradg"	"2016-05-19 02:19:30"	NA	NA	FALSE	0	FALSE	1	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Orange hair dye must be banned. Look at Donald Trump https://t.co/jwVPobt6pE"	733146285029662720	"Nolutha0209"	"2016-05-19 04:04:30"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Donald Trump Appeared on Megyn Kelly's Special. He Admitted a Few Reg... https://t.co/B8ipXjaj07"	733196297881149440	"epeakdallas"	"2016-05-19 07:23:14"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://nyc.epeak.in/"" rel=""nofollow"">dallasepeak.in</a>"	NA	NA
"I liked a @YouTube video from @redadski https://t.co/vQ9IAudTdj WATCH: FULL Exclusive Donald Trump Interview With Sean Hannity - May"	733181407040790528	"AT_BREAKINGNEWS"	"2016-05-19 06:24:03"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>"	NA	NA
"@HillaryClinton @realDonaldTrump i love seeing donald trump ads!! It always makes me love him more!!!"	733117641729040384	"CrookedHillary8"	"2016-05-19 02:10:41"	"HillaryClinton"	1339835893	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Politics|Donald Trump's Views on North Korea Test Hillary Clinton: “Putting aside the politics of a different... https://t.co/TmYM4e4Kod"	733133953993834496	"fairje"	"2016-05-19 03:15:30"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"	NA	NA
"@TruthYoda @Ovenkin @redsteeze Good that he's opposing the fascist Donald Trump. It would help the country to keep him out of office."	733120907502333952	"MitchBlatt"	"2016-05-19 02:23:39"	"TruthYoda"	249840560	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @funnyordie: Donald Trump denies posing as publicist John Barron to promote his brand, but these new leaked tapes say otherwise. https:/…"	733134809556377600	"KarenKao2012"	"2016-05-19 03:18:54"	NA	NA	FALSE	0	FALSE	182	TRUE	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	NA	NA
"RT @lalajoenk20: Rolling Stones tell Donald Trump he must stop playing their music at campaign events https://t.co/imd997oZgO https://t.co/…"	733178992791015424	"DashaRudyeva"	"2016-05-19 06:14:28"	NA	NA	FALSE	0	FALSE	489	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @snopes: Despite the memes, @realDonaldTrump was called racist long before he ran for president: https://t.co/vLrPvZYswb https://t.co/qo…"	733144377846075392	"SteveHills1971"	"2016-05-19 03:56:55"	NA	NA	FALSE	0	FALSE	115	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @BenSasse: 3/5 I’ve simply asked serious questions, &amp; voters deserve serious answers. The first batch: https://t.co/7G8UEDt3xi  https://…"	733135488199098368	"Bulldog_Being"	"2016-05-19 03:21:36"	NA	NA	FALSE	0	FALSE	81	TRUE	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	NA	NA
"RT @KypreeToFunny: Donald trump the type of president to legalize the purge <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>"	733190904916271104	"batmann49"	"2016-05-19 07:01:48"	NA	NA	FALSE	0	FALSE	708	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"its funny because you cant tell if theyre talking about a nazi soldier or donald trump https://t.co/jbyXtPA9Ox"	733180757762531328	"_cesk"	"2016-05-19 06:21:29"	NA	NA	FALSE	2	FALSE	2	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @SOMEXlCAN: Donald Trump goes to Mexico.. https://t.co/qa55HGcabG"	733198686985945088	"juan__pablo97"	"2016-05-19 07:32:43"	NA	NA	FALSE	0	FALSE	3620	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @HuffingtonPost: Cards Against Humanity's expansion pack is going to be yuuuge. https://t.co/KqmugvC06d https://t.co/uFKAxcoFnd"	733176336517234688	"starrg0"	"2016-05-19 06:03:55"	NA	NA	FALSE	0	FALSE	50	TRUE	"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>"	NA	NA
"RT @LibbySchaaf: Let me be clear, regarding @nytimes story, the most dangerous place in America is Donald Trump's mouth."	733147583850258432	"lizohno"	"2016-05-19 04:09:39"	NA	NA	FALSE	0	FALSE	1489	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Trump's Twitter analyzed...great read via @VOXdotcom  https://t.co/HzGucarMls"	733201378445778944	"kearbar"	"2016-05-19 07:43:25"	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
